,nombre,apellido,equipo,id
58,Avery,Bradley,University of Texas at Austin,59
59,Tony,Bradley,Texas Legends,60
60,Mikal,Bridges,Villanova,61
61,Miles,Bridges,Michigan State,62
62,Isaiah,Briscoe,Kentucky,63
63,Ryan,Broekhoff,Valparaiso,64
64,Malcolm,Brogdon,Virginia,65
65,Dillon,Brooks,Oregon,66
66,MarShon,Brooks,Providence,67
67,Troy,Brown Jr.,Oregon,68
68,Bruce,Brown,Miami,69
69,Jaylen,Brown,California,70
70,Lorenzo,Brown,North Carolina State,71
71,Sterling,Brown,Southern Methodist,72
72,Jalen,Brunson,Villanova,73
73,Thomas,Bryant,Indiana,74
74,Reggie,Bullock,North Carolina,75
75,Trey,Burke,Michigan,76
76,Alec,Burks,Colorado,77
77,Deonte,Burton,Iowa State,78
